"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G29003700608003","290370608003","39","2"
"G29003700608004","290370608004","34","1"
"G29003700609041","290370609041","80","7"
"G29003700609042","290370609042","62","4"
"G29003700609043","290370609043","75","6"
"G29003700610011","290370610011","36","2"
"G29003700610012","290370610012","35","2"
"G29003700610013","290370610013","36","2"
"G29003700610021","290370610021","62","4"
"G29003700610022","290370610022","43","2"
"G29003700610023","290370610023","51","3"
"G29003700610024","290370610024","43","2"
"G29003700610025","290370610025","62","4"
"G29003700610026","290370610026","69","5"
"G29003700611001","290370611001","84","8"
"G29003700611002","290370611002","34","1"
"G29003700611003","290370611003","58","4"
"G29003700611004","290370611004","39","2"
"G29003700612001","290370612001","45","2"
"G29003700612002","290370612002","70","5"
"G29003700612003","290370612003","PH","PH"
"G29003700612004","290370612004","64","5"
"G29003700613001","290370613001","71","6"
"G29003700613002","290370613002","74","6"
"G29003700613003","290370613003","99","10"
"G29003700613004","290370613004","59","4"
"G29003700613005","290370613005","75","6"
"G29003700613006","290370613006","59","4"
"G29003700614001","290370614001","72","6"
"G29003700614002","290370614002","71","6"
"G29003700614003","290370614003","71","6"
"G29003700614004","290370614004","73","6"
"G29003908701011","290398701011","74","6"
"G29003908701012","290398701012","71","6"
"G29003908701021","290398701021","81","7"
"G29003908701022","290398701022","81","7"
"G29003908701023","290398701023","81","7"
"G29003908702001","290398702001","93","9"
"G29003908702002","290398702002","93","9"
"G29003908702003","290398702003","93","9"
"G29003908702004","290398702004","93","9"
"G29003908702005","290398702005","93","9"
"G29003908703001","290398703001","91","9"
"G29003908703002","290398703002","91","9"
"G29003908703003","290398703003","91","9"
"G29003908703004","290398703004","89","8"
"G29004104701001","290414701001","62","4"
"G29004104701002","290414701002","84","8"
"G29004104702001","290414702001","69","5"
"G29004104702002","290414702002","85","8"
"G29004104702003","290414702003","95","10"
"G29004104703001","290414703001","75","6"
"G29004104703002","290414703002","74","6"
"G29004104703003","290414703003","95","10"
"G29004104703004","290414703004","83","8"
"G29004300201011","290430201011","77","7"
"G29004300201012","290430201012","50","3"
"G29004300201021","290430201021","81","7"
"G29004300201022","290430201022","79","7"
"G29004300201023","290430201023","33","1"
"G29004300201024","290430201024","49","3"
"G29004300202011","290430202011","32","1"
"G29004300202012","290430202012","38","2"
"G29004300202021","290430202021","57","4"
"G29004300202022","290430202022","47","3"
"G29004300202023","290430202023","73","6"
"G29004300202024","290430202024","57","4"
"G29004300202041","290430202041","63","4"
"G29004300202042","290430202042","78","7"
"G29004300202043","290430202043","55","3"
"G29004300202051","290430202051","58","4"
"G29004300202052","290430202052","70","5"
"G29004300202053","290430202053","42","2"
"G29004300202061","290430202061","82","7"
"G29004300202062","290430202062","53","3"
"G29004300202071","290430202071","37","2"
"G29004300202072","290430202072","43","2"
"G29004300203021","290430203021","50","3"
"G29004300203022","290430203022","76","6"
"G29004300203023","290430203023","67","5"
"G29004300203024","290430203024","82","7"
"G29004300203031","290430203031","54","3"
"G29004300203032","290430203032","54","3"
"G29004300203033","290430203033","70","5"
"G29004300203034","290430203034","56","3"
"G29004300203041","290430203041","60","4"
"G29004300203042","290430203042","60","4"
"G29004300203071","290430203071","32","1"
"G29004300203072","290430203072","71","6"
"G29004300203081","290430203081","46","2"
"G29004300203082","290430203082","46","2"
"G29004300203091","290430203091","67","5"
"G29004300203101","290430203101","52","3"
"G29004300203102","290430203102","52","3"
"G29004300203103","290430203103","52","3"
"G29004300203104","290430203104","52","3"
"G29004300204011","290430204011","50","3"
"G29004300204012","290430204012","63","4"
"G29004300204021","290430204021","69","5"
"G29004300204022","290430204022","53","3"
"G29004300204023","290430204023","63","4"
"G29004300205011","290430205011","61","4"
"G29004300205012","290430205012","50","3"
"G29004300205013","290430205013","55","3"
"G29004300205021","290430205021","33","1"
"G29004300205022","290430205022","42","2"
"G29004300205023","290430205023","59","4"
"G29004509501001","290459501001","70","5"
"G29004509501002","290459501002","68","5"
"G29004509502001","290459502001","83","8"
"G29004509502002","290459502002","88","8"
"G29004509503001","290459503001","88","8"
"G29004509503002","290459503002","95","10"
"G29004509503003","290459503003","88","8"
"G29004700202011","290470202011","81","7"
"G29004700202012","290470202012","74","6"
"G29004700202013","290470202013","79","7"
"G29004700202014","290470202014","76","6"
"G29004700202015","290470202015","81","7"
"G29004700202021","290470202021","43","2"
"G29004700202022","290470202022","32","1"
"G29004700202023","290470202023","29","1"
"G29004700202024","290470202024","34","1"
"G29004700203001","290470203001","75","6"
"G29004700203002","290470203002","74","6"
"G29004700203003","290470203003","82","7"
"G29004700203004","290470203004","67","5"
"G29004700203005","290470203005","57","4"
"G29004700204001","290470204001","78","7"
"G29004700204002","290470204002","75","6"
"G29004700204003","290470204003","87","8"
"G29004700205001","290470205001","73","6"
"G29004700205002","290470205002","71","6"
"G29004700205003","290470205003","81","7"
"G29004700205004","290470205004","72","6"
"G29004700205005","290470205005","76","6"
"G29004700205006","290470205006","74","6"
"G29004700205007","290470205007","75","6"
"G29004700206021","290470206021","74","6"
"G29004700206022","290470206022","74","6"
"G29004700206023","290470206023","74","6"
"G29004700206024","290470206024","74","6"
"G29004700206025","290470206025","74","6"
"G29004700206031","290470206031","80","7"
"G29004700206032","290470206032","78","7"
"G29004700206033","290470206033","77","7"
"G29004700206034","290470206034","78","7"
"G29004700206041","290470206041","68","5"
"G29004700206042","290470206042","77","7"
"G29004700206043","290470206043","80","7"
"G29004700206044","290470206044","75","6"
"G29004700206045","290470206045","77","7"
"G29004700208021","290470208021","64","5"
"G29004700208022","290470208022","65","5"
"G29004700208031","290470208031","70","5"
"G29004700208032","290470208032","99","10"
"G29004700208033","290470208033","61","4"
"G29004700209011","290470209011","27","1"
"G29004700209012","290470209012","71","6"
"G29004700209013","290470209013","82","7"
"G29004700209014","290470209014","51","3"
